,Year,Latitude,Longitude,Date,DVS,TOTN,TOTP,TOTK,TOTIRRIG,LAI,RD,WSO,NAVAIL,PAVAIL,KAVAIL,WC,SM,IRRAD,TMIN,TMAX,TEMP,VAP,RAIN,WIND,Days Elapsed,Rewards
0,1984,50.0,5.0,01/03/1984,0.0,0.0,0.0,0.0,0.0,0.0334165,11.2,0.0,0.341,0.341,0.341,3.5329092,0.3154383,2380000.0,2.62,5.44,4.16,7.97935,0.795,6.12,1.0,0.0
1,1984,50.0,5.0,01/04/1984,0.0,0.0,0.0,0.0,0.0,0.033492174,12.4,0.0,0.67681044,0.6810486,0.67162085,4.6985793,0.37891766,3350000.0,0.18,5.37,3.28,7.0161166,1.422,8.12,2.0,0.0
2,1984,50.0,5.0,01/05/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,13.6,0.0,1.0137064,1.0212961,1.004413,6.4910088,0.47728005,1150000.0,-1.06,2.25,0.58,6.1347227,0.407,5.16,3.0,0.0
3,1984,50.0,5.0,01/06/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,14.8,0.0,1.3547065,1.3622962,1.345413,7.036426,0.4754342,2630000.0,-2.72,0.4,-0.75,5.5618987,0.409,4.3,4.0,0.0
4,1984,50.0,5.0,01/07/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,16.0,0.0,1.6957065,1.7032962,1.686413,7.5930305,0.4745644,1500000.0,0.43,1.76,1.09,6.482272,0.102,2.73,5.0,0.0
5,1984,50.0,5.0,01/08/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,17.2,0.0,2.0367064,2.0442963,2.027413,7.8406878,0.45585394,1650000.0,-0.27,3.72,1.01,6.2245474,1.016,4.8,6.0,0.0
6,1984,50.0,5.0,01/09/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,18.4,0.0,2.3777065,2.385296,2.368413,9.208151,0.500443,1880000.0,-0.48,1.64,0.38,6.002135,0.229,4.38,7.0,0.0
7,1984,50.0,5.0,01/10/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,19.6,0.0,2.7187066,2.7262962,2.709413,9.264277,0.47266725,2640000.0,-1.05,1.83,0.08,5.962856,0.062,2.89,8.0,0.0
8,1984,50.0,5.0,01/11/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,20.8,0.0,3.0597064,3.0672963,3.050413,9.466148,0.45510328,2770000.0,-3.07,1.58,-1.26,5.278005,0.056,3.12,9.0,0.0
9,1984,50.0,5.0,01/12/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,22.0,0.0,3.4007065,3.408296,3.391413,9.909876,0.45044893,1020000.0,-0.99,1.08,0.18,5.9454713,0.371,6.08,10.0,0.0
10,1984,50.0,5.0,01/13/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,23.2,0.0,3.7417066,3.7492962,3.732413,10.660525,0.45950538,1680000.0,-2.19,2.27,0.45,6.054863,0.406,4.52,11.0,0.0
11,1984,50.0,5.0,01/14/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,24.4,0.0,4.0827065,4.0902963,4.073413,11.452676,0.46937194,1180000.0,-2.09,7.8,1.9,6.6241813,0.988,7.73,12.0,0.0
12,1984,50.0,5.0,01/15/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,25.6,0.0,4.4237065,4.4312963,4.414413,12.602285,0.49227676,270000.0,0.39,9.37,4.51,7.8231106,1.72,7.12,13.0,0.0
13,1984,50.0,5.0,01/16/1984,0.0,0.0,0.0,0.0,0.0,0.03356331,26.8,0.0,4.7647066,4.7722964,4.755413,14.135733,0.5274527,1970000.0,-0.83,1.24,0.15,5.8506565,0.479,6.15,14.0,0.0
